#start	end	weight
8556	8697	1
8556	10393	1
8556	29945	1
8556	29882	1
8556	246184	1
8556	996	1
8556	51343	1
8556	51434	1
8556	51433	1
7224	659	1
7223	659	1
8554	6773	-1
8554	6772	-1
8554	6775	-1
8554	6774	-1
8554	6777	-1
8554	6776	-1
8554	6778	-1
7225	659	1
8555	25847	1
8555	51529	1
8555	64682	1
8555	8881	1
8555	8697	1
8555	10393	1
8555	29945	1
8555	29882	1
8555	246184	1
8555	996	1
8555	51343	1
8555	51434	1
8555	51433	1
9894	545	1
343173	2788	1
343173	2774	1
343173	2782	1
343173	51764	1
343172	2788	1
343172	2774	1
343172	2782	1
343172	51764	1
343171	2788	1
343171	2774	1
343171	2782	1
343171	51764	1
343170	2788	1
343170	2774	1
343170	2782	1
343170	51764	1
23035	10000	-1
23035	207	-1
23035	208	-1
268	269	1
268	657	1
268	658	1
268	659	1
343169	2788	1
343169	2774	1
343169	2782	1
343169	51764	1
11059	5156	-1
11059	2264	-1
11059	2263	-1
11059	2261	-1
11059	1956	-1
11059	3480	-1
403274	2788	1
403274	2774	1
403274	2782	1
403274	51764	1
403277	2788	1
403277	2774	1
403277	2782	1
403277	51764	1
403278	2788	1
403278	2774	1
403278	2782	1
403278	51764	1
7248	6009	-1
403273	2788	1
403273	2774	1
403273	2782	1
403273	51764	1
26999	253314	-1
26999	55845	-1
26999	8936	-1
26999	9470	-1
26999	1977	-1
8569	253314	1
8569	468	1
8569	9470	1
8569	1977	1
7253	2778	1
7253	2776	1
7252	7253	1
7252	4881	1
7252	7434	1
7252	3362	1
7252	2492	1
7252	3360	1
7252	153	1
7252	135	1
7252	2696	1
7252	2740	1
7252	117	1
7252	4158	1
7252	5732	1
7252	3973	1
7252	1816	1
7252	139760	1
7252	1812	1
284	7010	1
284	3791	1
284	5156	1
284	4233	1
284	2066	1
284	2264	1
284	2065	1
284	2263	1
284	2064	1
284	2261	1
284	2260	1
284	3480	1
284	4804	1
284	4914	1
284	1436	1
284	3815	1
284	4915	1
284	2324	1
284	2322	1
284	2321	1
284	5159	1
284	3643	1
284	1969	1
284	1956	1
285	7010	1
285	3791	1
285	5156	1
285	4233	1
285	2066	1
285	2264	1
285	2065	1
285	2263	1
285	2064	1
285	2261	1
285	2260	1
285	3480	1
285	4804	1
285	4914	1
285	1436	1
285	3815	1
285	4915	1
285	2324	1
